ID,Number,Title,Duration,Key,Year,Forces,YouTubeID,Genre
BWV1,1,Wie schön leuchtet der Morgenstern,1335,F major,1725,"For 3 voices, mixed chorus, orchestra",WolLwgiwTIs,Sacred cantatas
BWV2,2,"Ach Gott, vom Himmel sieh darein",997,G minor,1724,"For 3 voices, mixed chorus, orchestra",tLntygeIg40,Sacred cantatas
BWV3,3,"Ach Gott, wie manches Herzeleid",1497,A major,1725,"For 4 voices, mixed chorus, orchestra",YXydugzKQcw,Sacred cantatas
BWV4,4,Christ lag in Todesbanden,1331,E minor,"1707–08?, rev. 1724–25","For 4 voices, mixed chorus, orchestra",b-MOUsVx0ao,Sacred cantatas
BWV5,5,Wo soll ich fliehen hin,1230,G minor,1724,"For 4 voices, mixed chorus, orchestra",7Xp8ZhWJE_o,Sacred cantatas
BWV6,6,"Bleib bei uns, denn es will Abend werden",1184,C minor,1725,"For 4 voices, mixed chorus, orchestra",G0e5vjPhyM0,Sacred cantatas
BWV7,7,Christ unser Herr zum Jordan kam,1343,E minor,1724,"For 3 voices, mixed chorus, orchestra",sidLZxl_2EQ,Sacred cantatas
BWV8,8,"Liebster Gott, wenn werd ich sterben?",1121,E major,"1724, rev. 1744–47","For 4 voices, mixed chorus, orchestra",Hfkq-S7Vis8,Sacred cantatas
BWV9,9,Es ist das Heil uns kommen her,1485,E major,1732–35,"For 4 voices, mixed chorus, orchestra",pSJhZLsJAMM,Sacred cantatas
BWV10,10,Meine Seel erhebt den Herren,1169,G minor,1724,"For 4 voices, mixed chorus, orchestra",Gw_UsdQn9rM,Sacred cantatas
BWV11,11,Lobet Gott in seinen Reichen (Himmelfahrts-Oratorium),1592,D major,1735,"For 4 voices, mixed chorus, orchestra",-2bZ5w-lzqM,Sacred cantatas
BWV12,12,"Weinen, Klagen, Sorgen, Zagen",1339,F major,1714,"For 3 voices, mixed chorus, orchestra",F3UodTHr1Cc,Sacred cantatas
BWV13,13,"Meine Seufzer, meine Tränen",1227,D minor,1726,"For 4 voices, mixed chorus, orchestra",4PD33JkFpl4,Sacred cantatas
BWV14,14,WarWär Gott nicht mit uns diese Zeit,940,G major,1735,"For 3 voices, mixed chorus, orchestra",HBQlvBs3qFs,Sacred cantatas
